"22.5.2013 13:27";"Kol Ami";"Authentic Israel";"GabiG@authenticisrael.com";"972542215454";"972587507000";"F7";"http://www.authenticisrael.com/";"https://www.facebook.com/pages/%D7%A7%D7%95%D7%9C-%D7%A2%D7%9E%D";"•Young Jews from Israel and around the world getting to know Isr";"F11";"18-22";"yes";"01/09/2013";"F15";"F16";"F17";"in months";"6";"all year round";"9500";"housing, full board, tuition";"leadership & activism training";"leadership & activism training, tour Israel, aliyah";"F25";"sports, politics, social issues & Israeli society, judaism, Isra";""volunteer opportunities, outdoor challenge, environment & Natur";"Enrichment activities & Fun, Volunteer, Study, Explore Israel's";"English";"Israel";"the north, Jerusalem and surrounding areas";"F32";"F33"
"11.10.2012 15:44";"Kesher Hadash";"JTS-Jewish Theological Seminary";"alsinclair@jtsa.edu";"972-2-5631288";"02-5611713";"http://www.jtsa.edu/The__Davidson_School_of_Jewish_Education.xml";"http://www.jtsa.edu/x15261.xml";"http://www.jtsa.edu/x15261.xml";"Kesher Hadash is a ground-breaking pre-service professional development experience in Israel for students at the Davidson School of Education of the Jewish Theological Seminary. Its philosophy rests on two central tenets: 1. Engagement: Engagement with Israel should include all of Israel’s rich and multifaceted diversity, including aspects that are frustrating, difficult, and challenging. Seeing Israel through its beguiling and intricate complexities will ultimately lead to a deeper and fuller relationship with it. 2. Encounters: Whenever possible, Israel engagement should include extended and deep encounters with Israeli peers. The development of relationships with Israeli peers leads to a richer understanding of Israeli society than can be formed in any formal class.";"pre-high school";"23-30";"yes";"";"";"";"";"in months";"4";"summer";"";"housing, flights, full board, visit additional countries, tuition";"jewish study";"academic study, hebrew ulpan, leadership & activism training, tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""volunteer opportunities, internship educational seminars, environment & Nature, Jewish study"";"Enrichment activities & Fun, study, learn hebrew, volunteer, travel, internship";"English";"Israel";"Jerusalem and surrounding areas";"";""
"11.10.2012 09:16";"Midreshet Tehillah";"Neve Yerushalayim";"MTehillah@Nevey.org";"972-2-654-4578";"972-52-347-0419";"http://www.nevey.org";"http://www.midreshettehillah.org";"http://www.nevey.org/forms/applymt.php";"An intense, textually based program focused in Tanach, outlook, and Jewish Laws with extensive group learning sessions geared towards the academically talented and motivated student looking for a warm seminary environment in which to deepen her grasp of Torah worldview through text-based learning, with the intension of rooting her love of God and growing spiritually.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"10";"all year round";"20000";"housing, full board, tuition";"jewish study";"hebrew ulpan, tour Israel";"";"judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, environment & Nature, Jewish study"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"Jerusalem and surrounding areas";"";""
"11.10.2012 08:39";"Yeshivat Ohr Yerushalayim";"Yedidei Yeshivat Ohr Yerushalayim";"office@yoy.org.il";"972 2 533 2424";"";"http://www.yoy.org.il";"http://www.yoy.org.il";"http://www.yoy.org.il";"A Yeshiva program with an emphasis on developing the students' independent learning skills. Includes touring, visiting various types of religious communities for Shabbat, sports, and guest lecturers.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"10";"all year round";"";"housing, full board, tuition";"jewish study";"academic study, hebrew ulpan, leadership & activism training, tour Israel";"";"judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, explore Israel's heritage, travel, Volunteer";"English";"Israel";"Jerusalem and surrounding areas";"";""
"11.10.2012 08:38";"Michlelet Esther";"Neve Yerushalayim";"meoffice@nevey.org";"972-2-6544543";"";"http://www.nevey.org";"http://www.nevey.org/michleletesther/michleletesther.php";"http://www.nevey.org/michleletesther/michleletesther.php";"Our mission is to provide you with the ability to believe in yourself and to give you the strength to commit to that belief in an open-minded, intelligent, proactive and warm Torah environment.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"10";"all year round";"19500";"housing, full board, tuition";"jewish study";"hebrew ulpan, leadership & activism training, tour Israel";"";"politics, arts, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"Jerusalem and surrounding areas";"";""
"10.10.2012 15:52";"Midreshet Yeud";"Midreshet Yeud";"ravhillel@yeud.org.il";"972 52 6868 666";"972 2 644 9010";"http://www.yeud.org.il/eng";"http://www.yeud.org.il/eng";"http://www.yeud.org.il/eng";"At Midreshet Yeud students combine advanced Torah classes with Sherut Leumi volunteer projects. English speakers from different countries join Israelis and French students for a year of growth and giving. Long days of inspirational classes alongside meaningful volunteer-work make for an unforgettable year for leadership-quality orthodox girls age 18-19.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"10";"all year round";"25000";"housing, full board, tuition";"community service";"academic study, hebrew ulpan, leadership & activism training, tour Israel";"";"politics, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers, vi";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"Jerusalem and surrounding areas";"";""
"10.10.2012 10:36";"SAR-EL";"Pamela Lazarus";"pamela@sar-el.org";"0528-219945";"";"http://www.sar-el.org";"http://www.sar-el.org";"pamela@sar-el.org";"Volunteers are placed on IDF bases to help with logistics--warehouse work, supplies, equipment. Volunteers are given the opportunity to work alongside soldiers and really help the country, as well as meet other volunteers from all over the world.";"teen travel";"18-30";"yes";"";"";"";"";"in weeks";"3";"all year round";"90";"housing, full board";"";"tour Israel, partnership together";"";"social issues & Israeli society, Israeli history & Zionism";""volunteer opportunities, tour israel, educational seminars, meet Israeli peers"";"volunteer, explore Israel's heritage, travel";"English";"Israel";"all over the country";"";""
"10.10.2012 10:36";"SAR-EL";"Pamela Lazarus";"pamela@sar-el.org";"0528-219945";"";"http://www.sar-el.org";"http://www.sar-el.org";"pamela@sar-el.org";"Volunteers are placed on IDF bases to help with logistics--warehouse work, supplies, equipment. Volunteers are given the opportunity to work alongside soldiers and really help the country, as well as meet other volunteers from all over the world.";"teen travel";"18-30";"yes";"";"";"";"";"in weeks";"3";"all year round";"90";"housing, full board";"";"tour Israel, partnership together";"";"social issues & Israeli society, Israeli history & Zionism";""volunteer opportunities, tour israel, educational seminars, meet Israeli peers"";"volunteer, explore Israel's heritage, travel";"English";"Israel";"all over the country";"";""
"10.10.2012 09:34";"Bet Midrash for Overseas Students";"Schechter Rabbinical Seminary";"shtucker@schechter.org.il";"972-74-7800711";"972-74-7800712";"http://www.schechter.edu";"http://www.schechter.edu/Page.aspx?ID=993608081";"http://www.schechter.edu/Page.aspx?ID=993608081";"An academic program based on a pluralistic and egalitarian approach, open to rabbinical students from all streams of Judaism as well as college graduates. The Bet Midrash offers guidance for students embarking on a spiritual quest to explore Bible, Talmud, Jewish Law, and Midrash. All classes are conducted in Hebrew.";"semester to year programs for ages 18-30";"23-30";"yes";"01/10/2013";"";"";"";"in months";"4";"all year round";"";"tuition";"jewish study";"academic study, hebrew ulpan, leadership & activism training";"";"arts, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""educational seminars, Jewish study, meet Israeli peers"";"volunteer, explore Israel's heritage, travel, study";"Hebrew";"Israel";"Jerusalem and surrounding areas";"";""
"09.10.2012 17:47";"Mechinat Yeud";"Midreshet Yeud";"ettinger@yeud.org.il";"972-2-644-9010";"052-5994259";"http://www.myeud.org.il";"http://www.myeud.org.il";"http://www.myeud.org.il";"Mechinat Yeud is a preparation program for post high school young men with an Orthodox background that are looking to both learn and to grow into young Jewish leaders. Modeled after the pre-army mechina programs in Israel, this program is appropriate for serious guys who would like to add to their daily Torah study, a serious volunteer program, strengthen their leadership skills, as well as participate in some challenging physical training in order to be better prepared for the challenges of life. The atmosphere is quite Israeli (we are located on the same campus as the Israeli Hesder Yeshiva"Machaniam") and offers leadership training as well as Torah learning.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"10";"all year round";"22000";"housing, full board, tuition";"jewish study";"hebrew ulpan, leadership & activism training, tour Israel";"";"sports, politics, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, internship tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, significant encounters";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"Jerusalem and surrounding areas, kibbutz";"";""
"09.10.2012 17:47";"Mechinat Yeud";"Midreshet Yeud";"ettinger@yeud.org.il";"972-2-644-9010";"052-5994259";"http://www.myeud.org.il";"http://www.myeud.org.il";"http://www.myeud.org.il";"Mechinat Yeud is a preparation program for post high school young men with an Orthodox background that are looking to both learn and to grow into young Jewish leaders. Modeled after the pre-army mechina programs in Israel, this program is appropriate for serious guys who would like to add to their daily Torah study, a serious volunteer program, strengthen their leadership skills, as well as participate in some challenging physical training in order to be better prepared for the challenges of life. The atmosphere is quite Israeli (we are located on the same campus as the Israeli Hesder Yeshiva"Machaniam") and offers leadership training as well as Torah learning.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"10";"all year round";"22000";"housing, full board, tuition";"jewish study";"hebrew ulpan, leadership & activism training, tour Israel";"";"sports, politics, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, internship tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, significant encounters";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"Jerusalem and surrounding areas, kibbutz";"";""
"01.10.2012 17:36";"Camp Mifgash";"Camp Mifgash Israel";"info@mifgashisrael.com";"917 620 6147";"";"http://www.mifgashisrael.com";"http://www.mifgashisrael.com";"http://mifgashisrael.com/brochure/wp-content/plugins/page-flip-image-gallery/popup.php?book_id=5";"Camp Mifgash provides impactful experiential learning by offering a platform for connecting Israeli and North American youths through meaningful interactions with one another, with Jewish educators and with the land, state and people of Israel. The vision of Camp Mifgash is to create a community of North American and Israeli teens who lead their peers with a deep understanding about and passion for the unity of Jewish people, a strong relationship with Israel (eretz Yisrael), a knowledge of common history and values, and a commitment to a shared, dynamic Jewish future.";"bar and bat mitzvah";"12 & 13";"no";"";"";"";"";"in weeks";"2";"summer";"1900";"housing, full board, tuition";"summer camp";"hebrew ulpan, leadership & activism training, tour Israel, summer camp, partnership together";"";"sports, politics, arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, technology, spirituality";""volunteer opportunities, outdoor challenge, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"Hebrew";"Israel";"Jerusalem and surrounding areas, kibbutz";"";""
"27.09.2012 18:21";"Year Course";"Young Judaea";"yearcourse@youngjudaea.org";"1-800-725-0612";"";"http://www.youngjudaea.org";"http://www.yearcourse.org";"http://www.yearcourse.org";"Participants spend 9 months learning Hebrew, interacting with their Israeli peers, developing an appreciation for their Jewish heritage and exploring Israel through a variety of volunteer placements. Accredited college-level courses, extensive travel, independent/group living are all available with so much more!";"gap year (between high school and University)";"18-22";"yes";"28/08/2013";"";"";"";"in months";"9";"all year round";"23950";"housing, full board, tuition";"academic study";"hebrew ulpan, leadership & activism training, tour Israel";"";"sports, arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, business, technology, spirituality";""volunteer opportunities, outdoor challenge, internship tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, significant encounters";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"the south, Jerusalem and surrounding areas, Tel aviv and surrounding areas";"";""
"27.09.2012 15:33";"Dor L\'Dor";"Eli & Bessie Cohen Camps";"dorldor@cohencamps.org";"781-489-2070";"";"http://www.cohencamps.org/";"http://www.cohencamps.org/Dor_LDor/";"http://www.cohencamps.org/Contact_Us/";"The Dor L'Dor Leadership Program is a combined program of the Eli & Bessie Cohen Camps. It is recognized in Israel, the Jewish camping community, and throughout the United States as a unique and innovative leadership development experience. Current campers who have completed 10th grade are eligible to experience a memorable 5-week tour of Israel and return to camp as Counselors-In-Training (CIT’s)";"teen travel";"14-18";"no";"";"";"";"";"in weeks";"5";"summer";"";"housing, flights, full board";"leadership & activism training";"tour Israel, summer camp";"";"sports, politics, arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"all over the country";"";""
"27.09.2012 08:36";"Midreshet Ein Hanatziv -Yuval Program";"Midreshet Ein Hanatziv";"midrasha@hanatziv.org.il";"972-46062900";"046062811";"http://www.midrasha.co.il";"http://www.midrasha.co.il/eng/programs.asp";"http://www.midrasha.co.il/eng/programs.asp?id=31470";"The Yuval program is a unique Torah-study program for bright young women who wish to integrate into a high level Beit Midrash. The program offers in-depth Torah study with immersion into Israeli culture and daily life. Studies consist of: Tanach, Gemara, Jewish Law, Jewish Philosophy, Hassidic Judaism, Zionism and Hebrew Literature.";"gap year (between high school and University)";"18-22";"yes";"";"01/06/2014";"";"";"in months";"10";"all year round";"18500";"housing, full board, tuition";"jewish study";"hebrew ulpan";"";"judaism";""volunteer opportunities, environment & Nature, Jewish study, meet Israeli peers"";"study, learn hebrew, volunteer, travel, kibbutz experience";"Hebrew";"Israel";"the north, kibbutz";"";""
"24.09.2012 14:06";"OLAMI";"ISRAEL EXPERIENCE";"hannale@israelexperience.org.il";"972-26216543";"";"http://www.theisraelexperience.org";"http://www.programmeisrael.org";"http://www.programmeisrael.org";"This is a custom-made, personal pogram. Each participant can compose their own program. The location can be in Tel Aviv, Haifa, Jerusalem, or on a Kibbutz. It includes many activities to choose from, including volunteer-work, studies, training, and internships.";"semester to year programs for ages 18-30";"18-30";"yes";"";"";"";"";"in months";"5";"all year round";"";"housing, tuition";"";"academic study, hebrew ulpan, leadership & activism training, tour Israel, aliyah";"";"sports, politics, arts, science, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, business, technology";""volunteer opportunities, outdoor challenge, internship tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, significant encounters";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"French";"Israel";"all over the country";"";""
"24.09.2012 13:55";"PREPA";"ISRAEL EXPERIENCE";"Arieab@israelexperience.org.il";"972-2-6216543";"";"http://www.theisraelexperience.org";"http://www.programmeisrael.org";"http://www.programmeisrael.org";"A program for academically inclined young adults who want to study in the Technion. During the program participants study in Ulpan in Haifa and take a Psychometric course. They then study in the Mathematics track in the Technion, with the option to continue their studies there.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"9";"all year round";"";"housing, full board, tuition";"academic study";"academic study, hebrew ulpan, leadership & activism training, tour Israel, aliyah";"";"science, judaism, Israeli history & Zionism, technology";""tour israel, educational seminars, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, explore Israel's heritage, travel,Volunteer";"French";"Israel";"the north";"";""
"24.09.2012 11:55";"Camp Kimama Israel";"Camp Kimama Israel";"info@campkimama.org";"972-9-9500544";"US toll free: 1-877-KIMAMA6";"http://www.campkimama.org/en";"http://www.campkimama.org/en";"http://www.campkimama.org/en";"Camp Kimama Israel is a primary international Jewish summer camp in Israel. Since its founding, Camp Kimama has created a lively network of children and youth that is constantly growing, active all year round, with its heart and core in Israel. Kimama camps are located on the Mediterranean, at Michmoret, and on Kibbutz Amir in Israel’s north. During the two-week sessions in summer and throughout the year, campers are given the opportunity to discover new worlds. The camp offers the attractions of marine sports, group activities and fun, interwoven with values such as independence, leadership and self expression. All camp activities are conducted simultaneously in Hebrew and English. The camp employs only skilled, experienced guides – some of whom have been with Kimama from its inception – at a constant ratio of one guide for every five campers. Camp Kimama strictly observes and enforces all safety measures.";"teen travel";"14-18";"no";"";"";"";"";"in weeks";"1";"all year round";"1700";"housing, full board, tuition";"summer camp";"leadership & activism training, summer camp";"";"sports, arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""outdoor challenge, educational seminars, environment & Nature, Jewish study"";"Enrichment activities & Fun, explore Israel's heritage, travel,Volunteer";"Hebrew";"Israel";"the north, Tel aviv and surrounding areas, kibbutz";"";""
"24.09.2012 10:50";"shorashenu 73";"Yeshivat Binyan Av";"binyan.av@gmail.com";"972-2-5717774";"";"http://www.yesod-hatorah.org";"http://www.yesod-hatorah.org";"http://www.yesod-hatorah.org";"The Shorashenu program of Yeshivat Binyan Av emphasizes the study of Judaism based on the Talmud, integrated with trips all over Israel. Studies cover a variety of Jewish subjects including practical law, Jewish legal sources, study of the Chumash (the weekly Parasha) and more. Participants also acquire a first-hand knowledge of Israel and experience lectures on the history that surround the Jewish people and the country. Shorashenu features cultural activities, jeep trips to a number of interesting places and geological sites, as well as hikes in which participants discover what they cannot see by car.";"semester to year programs for ages 18-30";"18-30";"yes";"03/09/2013";"";"";"";"in months";"10";"all year round";"";"housing";"jewish study";"hebrew ulpan, tour Israel";"";"judaism";""volunteer opportunities, educational seminars, Israeli home hospitality, Jewish study, meet Israeli peers"";"study, learn hebrew, volunteer, travel";"English";"Israel";"Jerusalem and surrounding areas";"";""
"23.09.2012 21:42";"Azamra Seminary";"Azamra Seminary";"azamraseminary@gmail.com";"972-2-9915516";"972-2-9999795";"N/A";"N/A";"N/A";"Azamra seminary is a 1-2 year intense Judaic studies program for English-speaking Bais Yaakov High School graduates ages 16-30 with a strong level of adherence to Halacha and religious observance. Azamra is known for its outstanding faculty and its emphasis on strong student/teacher relationships. In addition to the challenging and high level courses, Azamra offers a comprehensive Israel experience, exploring Israel from North to South.";"gap year (between high school and University)";"18-30";"yes";"";"";"";"";"in months";"10";"all year round";"19500";"housing, full board, tuition";"jewish study";"academic study, hebrew ulpan, leadership & activism training, tour Israel";"";"environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"Jerusalem and surrounding areas";"";""
"21.09.2012 21:12";"Taglit-Birthright Israel - Young Judaea";"Young Judaea";"birthright@youngjudaea.org.il";"866-520-9993";"866.520.9994";"http://www.youngjudaea.org";"http://www.toisraelnow.org";"http://www.toisraelnow.org";"Young Judaea is an official Taglit Birthright Israel trip organizer. Each trip is ten days long and absolutely free. Trips are open to Jewish young adults ages 18-26 who have never been to Israel on a peer program. With over 100 years of experience in organizing young adult programming, Young Judaea is uniquely suited to make this once-in-a-lifetime opportunity the best possible. Form friendships with American and Israeli peers and experience the beauty of Israel.";"taglit birthright Israel";"18-30";"no";"";"";"";"";"in days";"10";"all year round";"";"housing, flights, full board";"touring the country";"tour Israel";"";"sports, politics, arts, science, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, business, technology, spirituality";""tour israel, educational seminars, environment & Nature, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, volunteer, explore Israel's heritage, travel, kibbutz experience";"English";"Israel";"all over the country";"";""
"21.09.2012 21:05";"Amirim";"Young Judaea";"info@yjimpact.org";"877-464-2624";"212.303.8170";"http://www.youngjudaea.org";"http://www.amirimisrael.com";"http://www.amirimisrael.com";"Amirim is a 4 or 8 week summer volunteer/internship program for 18 – 27 year olds. Participants on Amirim share apartments in one of three cities: Arad, Bat Yam or Jerusalem, volunteer/intern 4 days a week, enjoy cultural events, optional weekly trips and free time for personal exploration.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in weeks";"8";"summer";"1950";"housing, tuition";"community service";"tour Israel";"";"sports, politics, arts, science, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, technology";""volunteer opportunities, internship tour israel, educational seminars, environment & Nature, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"the south, Jerusalem and surrounding areas, Tel aviv and surrounding areas";"";""
"20.09.2012 18:35";"Hamaor Hagadol";"Yeshiva Tomchei Tmimim - Kfar Chabad";"karasik@ohrtmimim.org";"972-8-9224392";"972-8-9226848";"none";"none";"none";"Central Yeshiva Tomchei Tmimim, located in the rural and pastoral village of Kfar Chabad, far from the commotion of big city life (yet located in the center of Israel), is the perfect place to spend a year of study and growth in Israel.";"semester to year programs for ages 18-30";"12 & 13";"yes";"10/10/2012";"";"";"";"in months";"11";"all year round";"11000";"full board, tuition";"academic study";"academic study";"";"judaism, spirituality";""volunteer opportunities, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, explore Israel's heritage, travel, Volunteer";"Hebrew";"Israel";"Tel aviv and surrounding areas";"";""
"20.09.2012 18:25";"Binyan Olam";"Binyan Olam";"binyanolam1@013.net";"972-2-6537344";"";"http://binyanolam.net";"http://www.binyanolam.net";"http://binyanolam.net";"Yeshiva studies from beginner level to advanced, short term to long term.";"semester to year programs for ages 18-30";"18-30";"yes";"01/09/2013";"";"";"";"in months";"3";"all year round";"8400";"housing, full board, visit additional countries, tuition";"jewish study";"hebrew ulpan, tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"Spanish";"Israel";"Jerusalem and surrounding areas";"";""
"20.09.2012 18:16";"Hajshara BO";"Binyan Olam";"binyanolam1@013.net";"972-2-6537344";"";"http://www.binyanolam.net";"http://www.binyanolam.net";"http://www.binyanolam.net";"A combination of Jewish Studies and courses in EMT, Self Defense,Yad Vashem, Computers and English. Time will be spent on touring Israel, rappelling, playing soccer, volunteering, and more!";"semester to year programs for ages 18-30";"18-30";"yes";"01/11/2013";"";"";"";"in months";"10";"all year round";"12000";"housing, full board, tuition";"";"academic study, hebrew ulpan, tour Israel";"";"sports, politics, arts, science, social issues & Israeli society, judaism, Israeli history & Zionism, technology, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"Spanish";"Israel";"Jerusalem and surrounding areas";"";""
"20.09.2012 15:15";"Yeshivat Lev Aharon";"Rabbi David Laniado";"office@levaharon.com";"972-2-651-4431";"";"http://www.levaharon.com";"http://www.levaharon.com";"http://www.levaharon.com/apply";"Located in the beautiful neighborhood of Har Nof, Jerusalem, Yeshivat Lev Aharon is a leading yeshiva offering a unique Sephardi experience in the exploration of Torah and Israel. The program continues its tradition of building well-rounded young men who take the Torah perspective they learn in yeshiva with them into their future lives. Lev Aharon is the perfect place for the young man who is looking to mature as a Jew and connect to Torah, while enjoying an exciting Israel experience.";"gap year (between high school and University)";"18-22";"yes";"01/09/2013";"";"";"";"in months";"10";"all year round";"";"housing, full board, tuition";"jewish study";"jewish study";"";"sports, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"Jerusalem and surrounding areas";"";""
"20.09.2012 12:22";"Yeshivat Hakotel";"Yeshivat Hakotel";"office@hakotel.org.il";"972-2-628-8175 ext. 122";"02-628-8175 ext. 111";"http://www.hakotel.org.il";"http://www.hakotel.org.il";"http://www.hakotel.org.il";"Yeshivat Hakotel aspires to give international students the opportunity to learn Torah in a genuine Israeli Yeshivat Hesder environment, fostering a true love of Israel and its people as well as the Torah through intense learning, integration with Israeli students and trips/recreation throughout the year. Yeshivat Hakotel offers a vast range of programs including multi-level Gemarah classes, Jewish Law, Jewish Thought, and Tanach lessons, as well as special guest lectures on varied topics. The Yeshiva also offers a volunteer program in the Jerusalem area.";"gap year (between high school and University)";"18-22";"yes";"";"";"";"";"in months";"11";"all year round";"22000";"housing, full board, tuition";"jewish study";"hebrew ulpan, leadership & activism training, tour Israel";"";"judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, explore Israel's heritage, travel, Volunteer";"Hebrew";"Israel";"Jerusalem and surrounding areas";"";""
"20.09.2012 11:06";"Green Apprenticeship";"Kibbutz Lotan";"lotanecocenter@gmail.com";"972-8-6356935";"972-54-9799024";"http://www.kibbutzlotan.com";"http://www.kibbutzlotan.com/creativeEcology/ga/";"http://www.kibbutzlotan.com/creativeEcology/index.htm";"The Green Apprenticeship trains participants to understand and create alternative solutions for the issues facing the modern world. We incorporate the following subjects, taught through both theoretical and practical instruction: Local food production, Permaculture Ecological design techniques, Natural/alternative building, Sustainable technologies Community Design, and environmental ethics.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"15/10/2013";"24/01/2014";"in weeks";"7";"all year round";"3150";"housing, full board, tuition";"";"leadership & activism training";"";"environment & nature";""volunteer opportunities, educational seminars, environment & Nature, meet Israeli peers"";"volunteer, travel, kibbutz experience";"English";"Israel";"the south, kibbutz";"";""
"20.09.2012 10:54";"Living Routes: Peace, Justice, and the Environment";"Kibbutz Lotan";"lotanecocenter@gmail.com";"972-8-6356935";"972-54-9799024";"http://www.kibbutzlotan.com";"http://www.kibbutzlotan.com/creativeEcology/peaceJusticeEnvironment.html";"http://www.livingroutes.org/programs/p_lotan.htm";"Gain career-based skills and a deeper understanding of the multifaceted dimensions of sustainability. Explore the complex relationship between connection to land as a core part of identity, spirituality, and social justice. Engage with a holistic approach to world issues that focuses cultivating the values that drive peace and social justice.";"semester to year programs for ages 18-30";"18-22";"yes";"";"19/12/2013";"29/05/2014";"";"in months";"4";"all year round";"15900";"housing, full board, tuition";"academic study";"academic study, hebrew ulpan, tour Israel";"";"environment & nature, judaism";""volunteer opportunities, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers, tim";"Enrichment activities & Fun, study, learn hebrew, volunteer, explore Israel's heritage, travel";"English";"Israel";"the south, Jerusalem and surrounding areas, kibbutz";"";""
"20.09.2012 10:28";"eCamp - International summer camp in Israel";"Israel Way";"info@ecamp4u.com";"+972-3-920-3970";"1-866-276-2993";"http://www.israelway.com/eCamp";"http://www.ecamp4u.com";"http://www.ecamp4u.com/Registration/Get_a_Free_Brochure.aspx?id=279";"eCamp is the ultimate summer camp in Israel. We are an English speaking Israel camp focused on technology, media arts and gaming for children and teens ages 7-18. Over a 2 weeks session, campers explore Israeli technology and have a hands-on experience in computer programming, game productions, digital media arts, web designing, Robotics and many more. The opportunity to travel and see Israel together with the opportunity to create friendships with Jewish teens all across the world, make eCamp an unforgettable summer experience for everyone!";"pre-high school";"14-18";"no";"";"";"";"";"in days";"13";"summer";"2400";"housing, full board, tuition";"summer camp";"summer camp";"";"sports, arts, science, technology";""outdoor challenge, tour israel, meet Israeli peers"";"Enrichment activities & Fun,Volunteer";"Hebrew";"Israel";"the north";"";""
